,tag,tweets
0,ToyStory,@toystory timeless classics
1,ToyStory,"Just the perfect meme to describe my reading over the weekend. Am totally reading the ending hereon if there's no mention if it's an HEA or an HFN. 🤓 #suckerforhappyendings 
---
#meme #readingmemes #humor #lol #myreadinglife #toystory #ctto - https://t.co/C8Yxq1KVaW https://t.co/svbAcKVeUa"
2,ToyStory,"#Lightyear set to release on June 17, 2022. The spinoff of the #ToyStory franchise as the story of a young test pilot who becomes the beloved Space Ranger, set within the narrative of #BuzzLightyearofStarCommand. #ChrisEvans is set to cast the star command pilot. #Pixar https://t.co/iykyRCvr3l"
3,ToyStory,"Marie Huie staff had a special visitor yesterday @toystory. Thanks, Dr. Ward! You always make work so much fun 🤩 @CFBISD @kdw0407  #mariehuie https://t.co/H2DoUZyB7h"
4,ToyStory,andy toystory https://t.co/sbGd0XXhYO
5,GoldenEye,@Markbeaumontuk Hey Mark. Have you got an email I can contact you on? We are doing a podcast on GoldenEye 007 and I want to pitch something to you 👍
6,GoldenEye,Anyone else ever notice how the BBC News Studio looks strikingly similar to Trevelyan's Cuba base? #justsaying #JamesBond #Goldeneye #007 https://t.co/oO4bLFbV4E
7,GoldenEye,@launders Ah. I forgot people actually played Starcraft on N64. I played on PC. N64 was for Goldeneye homie.
8,GoldenEye,"@benpeyton007 @007 The Bond film nearest your birth year
GoldenEye (1995)
The first Bond film you saw at the cinema
Die Another Day (2002)
Your favourite Bond film
Licence to Kill (1989)"
9,GoldenEye,"The Bond film nearest your birth year: 
Licence to Kill (1989)

The first Bond film you saw at the cinema: 
Tomorrow Never Dies (1997)

Your favourite Bond film:
GoldenEye (1995) 

Over to you! #FilmTwitter  #JamesBond  @007 https://t.co/gZ0XfpNLun"
10,GetShorty,"One of the greatest ever; certainly one of my all-time favorites. So nice to hear he’s living well. 
#Hoosiers #Superman #FrenchConnection #Unforgiven #CrimsonTide #TheFirm #GetShorty #BonnieAndClyde #MississippiBurning…too many to name. #USMC #SemperFi https://t.co/FlE9p7aUKo"
11,GetShorty,"@justplainbob Chili Palmer: 
""That was 'Rio Bravo.' Robert Mitchum played the drunk in 'El Dorado.' Dean Martin played the drunk in 'Rio Bravo.' Basically, it was the same part. Now John Wayne, he did the same in both. He played John Wayne.""
#GetShorty"
12,GetShorty,"Enjoying chipping away at work this arvo with some fine background tunes from local producers @jamesaSYD and @erfmufn 

Do you produce music that sounds similar? Send me your links! 

James Soundcloud - https://t.co/A7dsGxSBbh

Dylan Soundcloud - https://t.co/s89voswkR1"
